time,theta1,theta2,omega1,omega2,KE_outer,KE_inner,PE_total,KE_total,total_energy,energy_drift
57.167999999957466,0.5064476345796168,0.4673040037078069,-3.4553761875319444,0.8794226753343071,0.038776518175494185,0.0047378335928244565,9.969500182160719,0.04351435176831864,10.013014533929038,0.006908427747871926
57.168999999957464,0.5033660195817541,0.4679852170822137,-3.201976539331186,0.7450429621967125,0.03329771481245051,0.0034005339678227125,9.975101735829782,0.036698248780273224,10.011799984610056,0.005693878428889576
57.16999999995746,0.5005020209465043,0.4685510214161562,-2.9728068165562616,0.6235088541746425,0.028701957334963547,0.0023816050044670176,9.979715380991923,0.031083562339430566,10.010798943331354,0.004692837150187756
57.17099999995746,0.49783456622487593,0.469012588370735,-2.7657266784390786,0.5136856442606585,0.024842577661971933,0.0016165135219391247,9.98351480681042,0.026459091183911057,10.009973897994332,0.0038677918131657663
57.17199999995746,0.49534442285785824,0.46938011418481623,-2.5787990443230377,0.4145463843300279,0.021597980237046815,0.0010527633253924616,9.986643143164379,0.022650743562439277,10.009293886726818,0.0031877805456517194
57.172999999957455,0.493014020076571,0.4696629140951256,-2.4102730741524523,0.3251628621953051,0.018867338298467002,0.0006477185865207128,9.989218303053162,0.019515056884987714,10.00873335993815,0.002627253756983805
57.17399999995745,0.4908272856718307,0.46986950887327855,-2.2585685930137656,0.24469734423115952,0.016567031866470655,0.00036681154466707173,9.991337393228271,0.016933843411137725,10.008271236639409,0.0021651304582430697
57.17499999995745,0.48876949629415195,0.4700077041896121,-2.122261891209537,0.17239504724322896,0.014627701507399657,0.00018206818112720543,9.993080352963824,0.014809769688526863,10.007890122652352,0.0017840164711859785
57.17599999995745,0.48682714002253624,0.47008466347268557,-2.000072824647231,0.1075772997035096,0.012991812865449318,7.089665772866501e-05,9.994512953873956,0.013062709523177984,10.007575663397134,0.001469557215967754
57.176999999957445,0.4849877900184667,0.47010697489193004,-1.890853137842624,0.0496353511589831,0.011611644616657174,1.5092691033615765e-05,9.99568927101184,0.01162673730769079,10.00731600831953,0.0012099021383633612
57.17799999995744,0.4832399881578972,0.4700807130504371,-1.7935759323195188,-0.0019752111242443693,0.010447627344390411,2.3900750028912837e-08,9.996653716505605,0.01044765124514044,10.007101367750746,0.0009952615695798528
57.17899999995744,0.4815731376070384,0.470011495936171,-1.7073262057141492,-0.04773947787953259,0.009466973271686063,1.3961748603825033e-05,9.997442711135148,0.009480935020289887,10.006923646155439,0.0008175399742729184
57.17999999995744,0.4799774033763117,0.46990453764353424,-1.6312923907927657,-0.0880877034514227,0.008642547180569216,4.7535170852305114e-05,9.998086056033943,0.008690082351421522,10.006776138385364,0.0006700322041979234
