delta_theta_quarter,R2_0.6666666666666666,R2_0.5,R2_0.25,R2_0.99,R2_0.75,R2_0.3333333333333333,R2_0.01,R2_1,R2_0.999,R2_0.001,R2_0.9
1.04195107047918,25.821121651060327,19.55118206852364,9.849851346587908,37.22676694377588,28.867111600295534,13.110067454830592,0.3947830096462583,121313722429.2183,37.54327864820284,0.0394784164381228,34.16834255667285
1.0450989589096304,25.81215599599324,19.546860093463984,9.84924118066168,37.20615820156464,28.85534002405599,13.108664341769169,0.394782969119545,121202828748.41934,37.52232619516201,0.0394784163975938,34.15109658741143
1.0482468473400812,25.803246551430693,19.542561404011504,9.84863353055411,37.18570190233249,28.84364668564971,13.107267537704235,0.3947829287384912,121092639443.7866,37.50152919846086,0.0394784163572104,34.133974330734965
1.051394735770532,25.794393281833567,19.538286058041365,9.84802841648468,37.16539743507429,28.832031441683785,13.105877081880806,0.3947828885046969,120983148230.87866,37.480887025708256,0.0394784163169742,34.116975366983084
1.0545426242009823,25.7855961514042,19.534034112674647,9.847425858555392,37.14524419529444,28.820494149573715,13.10449301325148,0.3947828484197566,120874348900.45636,37.46039905129815,0.0394784162768869,34.10009928057699
1.057690512631433,25.776855124099235,19.52980562428674,9.84682587675054,37.12524158493852,28.809034667547675,13.103115370477186,0.3947828084852587,120766235317.36394,37.44006465633742,0.03947841623695,34.08334565998424
1.060838401061884,25.76817016364228,19.52560064851572,9.84622849093655,37.10538901232616,28.79765285465064,13.101744191927882,0.3947827687027857,120658801419.43044,37.419883228574925,0.0394784161971651,34.06671409768383
1.0639862894923346,25.759541233536325,19.521419240270586,9.845633720861745,37.085685892084726,28.786348570748345,13.100379515683343,0.3947827290739139,120552041216.39034,37.39985416233158,0.0394784161575337,34.05020419013191
1.0671341779227854,25.75096829707586,19.51726145373945,9.845041586156174,37.066131645084205,28.775121676531093,13.099021379533884,0.3947826896002138,120445948788.82332,37.379976858431576,0.0394784161180575,34.0338155377278
1.070282066353236,25.742451317358903,19.51312734239771,9.844452106331428,37.04672569837293,28.76397203351742,13.09766982098112,0.3947826502832495,120340518287.11296,37.36025072413461,0.0394784160787381,34.017547744780515
1.0734299547836867,25.733990257298643,19.50901695901593,9.843865300780443,37.02746748511437,28.752899504057574,13.096324877238724,0.3947826111245791,120235743930.4234,37.34067517306914,0.0394784160395768,34.00140041947574
1.0765778432141375,25.72558507963501,19.504930355667952,9.843281188777356,37.00835644452494,28.741903951336926,13.094986585233189,0.3947825721257542,120131620005.69418,37.3212496251668,0.0394784160005755,33.98537317384322
1.079725731644588,25.71723574694597,19.500867583738646,9.842699789477294,36.98939202181261,28.730985239379173,13.093654981604605,0.3947825332883202,120028140866.6529,37.30197350659761,0.0394784159617354,33.96946562372456
1.0828736200750388,25.70894222165856,19.49682869393177,9.842121121916236,36.97057366811654,28.72014323304944,13.092330102707416,0.3947824946138161,119925300932.8444,37.2828462497064,0.0394784159230583,33.95367738874144
1.0860215085054896,25.70070446605981,19.49281373627765,9.841545205010844,36.95190084044764,28.7093777980572,13.091011984611214,0.3947824561037742,119823094688.67766,37.26386729294998,0.0394784158845456,33.93800809226439
1.0891693969359402,25.69252244230741,19.488822760140827,9.840972057558307,36.93337300163001,28.698688800959232,13.089700663101503,0.3947824177597208,119721516682.48865,37.24503608083554,0.039478415846199,33.9224573613817
1.092317285366391,25.684396112440183,19.484855814227608,9.840401698236189,36.914989620243226,28.688076109162168,13.08839617368048,0.3947823795831752,119620561525.61954,37.22635206385969,0.0394784158080197,33.907024826869005
1.0954651737968415,25.67632543838836,19.48091294659356,9.839834145602277,36.89675017056556,28.67753959092525,13.087098551567838,0.39478234157565,119520223891.51384,37.20781469844869,0.0394784157700095,33.89171012315911
1.0986130622272925,25.66831038198369,19.4769942046509,9.839269418094446,36.87865413251805,28.667079115362668,13.085807831701551,0.3947823037386515,119420498514.82724,37.18942344689941,0.0394784157321698,33.876512888312234
1.101760950657743,25.66035090496933,19.473099635175856,9.83870753403052,36.86070099160935,28.656694552446,13.084524048738652,0.3947822660736789,119321380190.55324,37.17117777732126,0.0394784156945021,33.86143276398675
1.1049088390881938,25.6524469690096,19.46922928431589,9.838148511608129,36.8428902388815,28.646385773006465,13.083247237056042,0.3947822285822246,119222863773.16432,37.15307716357908,0.0394784156570079,33.84646939541011
1.1080567275186444,25.64459853569942,19.465383197596907,9.83759236890459,36.82522137085644,28.636152648737017,13.081977430751294,0.3947821912657743,119124944175.7672,37.13512108523668,0.0394784156196887,33.83162243135037
1.1112046159490951,25.636805566573788,19.46156141993032,9.837039123876773,36.80769388948335,28.625995052194448,13.080714663643429,0.3947821541258067,119027616369.2728,37.11730902750145,0.0394784155825459,33.81689152408789
1.1143525043795457,25.629068023116908,19.45776399562014,9.836488794360978,36.79030730208682,28.615912856801263,13.079458969273734,0.3947821171637933,118930875381.58028,37.099640481169736,0.0394784155455811,33.8022763293876
1.1175003928099965,25.6213858667712,19.45399096836989,9.835941398072832,36.773061121315706,28.605905936847588,13.078210380906578,0.3947820803811989,118834716296.77467,37.08211494257298,0.0394784155087957,33.787776506471424
